(+ (ln x) (ln y))	(ln (* x y))
(- (* 5 (log 7 11)) (log 7 8))	(log 7 (/ (pow 11 5) 8))
(+ (log 3 x) (* 2 (log 3 y)))	(log 3 (* x (pow y 2)))
(+ (log 10 u) (+ (log 10 v) (log 10 w)))	(log 10 (* u (* v w)))
(+ (log 2 12) (+ (log 2 7) (log 2 5)))	(log 2 420)
(+ (/ (log 5 x) 2) (+ (/ (log 5 y) 2) (/ (log 5 z) 2)))	(log 5 (sqrt (* x (* y z))))
(- (* 3 (log 6 a)) (* 6 (log 6 b)))	(log 6 (pow (/ a (pow b 2)) 3))
(+ (/ (log 7 x) 3) (+ (/ (log 7 y) 3) (/ (log 7 z) 3)))	(log 7 (pow (* x (* y z)) (/ 1 3)))
(- (* 3 (log 4 a)) (* 3 (log 4 b)))	(log 4 (pow (/ a b) 3))
(+ (* 3 (log 3 u)) (* 15 (log 3 v)))	(log 3 (pow (* u (pow v 5)) 3))
(+ (* 3 (log 5 u)) (* 12 (log 5 v)))	(log 5 (pow (* u (pow v 4)) 3))
(* 5 (log 9 11))	(log 9 161051)
(- (log 8 u) (log 8 v))	(log 8 (/ u v))
(+ (log 8 x) (log 8 y))	(log 8 (* x y))
(- (* 4 (log 3 x)) (* 4 (log 3 y)))	(log 3 (pow (/ x y) 4))
(- (* 4 (log 4 8)) (log 4 7))	(log 4 (/ 4096 7))
(- (* 5 (log 4 7)) (* 5 (log 4 12)))	(log 4 (pow (/ 7 12) 5))
(+ (log 6 a) (+ (log 6 b) (log 6 c)))	(log 6 (* a (* b c)))
(- (* 5 (log 5 x)) (log 5 y))	(log 5 (/ (pow x 5) y))
(- (* 30 (log 9 x)) (* 6 (log 9 y)))	(log 9 (pow (/ (pow x 5) y) 6))
(+ (ln x) (+ (ln y) (* 6 (ln z))))	(ln (* x (* y (pow z 6))))
(+ (* 3 (log 8 w)) (/ (log 8 u) 3))	(/ (log 8 (* (pow w 9) u)) 3)
(- (* 20 (log 7 a)) (* 4 (log 7 b)))	(log 7 (pow (/ (pow a 5) b) 4))
(+ (* 3 (log 2 u)) (* 4 (log 2 v)))	(log 2 (* (pow u 3) (pow v 4)))
(- (log 4 x) (log 4 y))	(log 4 (/ x y))
(* 6 (log 6 7))	(log 6 117649)
(- (* 3 (log 2 x)) (* 3 (log 2 y)))	(log 2 (pow (/ x y) 3))
(- (* 5 (log 10 u)) (log 10 v))	(log 10 (/ (pow u 5) v))
(- (* 3 (log 7 a)) (* 3 (log 7 b)))	(log 7 (pow (/ a b) 3))
(- (log 7 12) (* 5 (log 7 5)))	(log 7 (/ 12 3125))
(- (* 5 (log 9 6)) (* 5 (log 9 11)))	(log 9 (pow (/ 6 11) 5))
(- (log 8 x) (* 5 (log 8 y)))	(log 8 (/ x (pow y 5)))
(+ (* 30 (log 10 a)) (* 6 (log 10 b)))	(log 10 (pow (* (pow a 5) b) 6))
(+ (log 3 c) (+ (/ (log 3 a) 2) (/ (log 3 b) 2)))	(log 3 (* c (sqrt (* a b))))
(+ (log 5 z) (+ (/ (log 5 x) 2) (/ (log 5 y) 2)))	(log 5 (* z (sqrt (* x y))))
(- (* 6 (ln x)) (* 36 (ln y)))	(ln (pow (/ x (pow y 6)) 6))
(- (* 5 (log 3 x)) (* 2 (log 3 y)))	(log 3 (/ (pow x 5) (pow y 2)))
(- (* 3 (log 6 u)) (* 18 (log 6 v)))	(log 6 (pow (/ u (pow v 6)) 3))
(+ (* 6 (ln x)) (* 3 (ln y)))	(ln (* (pow x 6) (pow y 3)))
(+ (log 8 x) (+ (log 8 y) (* 3 (log 8 z))))	(log 8 (* x (* y (pow z 3))))
(- (* 12 (log 9 3)) (* 4 (log 9 7)))	(log 9 (pow (/ 27 7) 4))
(- (* 9 (log 7 x)) (* 3 (log 7 y)))	(log 7 (pow (/ (pow x 3) y) 3))
(+ (* 6 (log 8 a)) (* 5 (log 8 b)))	(log 8 (* (pow a 6) (pow b 5)))
(+ (* 3 (log 4 6)) (* 3 (log 4 11)))	(log 4 287496)
(- (* 6 (log 3 u)) (* 2 (log 3 v)))	(log 3 (pow (/ (pow u 3) v) 2))
(+ (/ (ln u) 3) (+ (/ (ln v) 3) (/ (ln w) 3)))	(ln (pow (* u (* v w)) (/ 1 3)))
(+ (log 6 3) (+ (log 6 2) (* 6 (log 6 5))))	(log 6 93750)
(+ (log 4 2) (+ (log 4 11) (* 4 (log 4 7))))	(log 4 52822)
(+ (* 5 (log 6 c)) (/ (log 6 a) 3))	(/ (log 6 (* (pow c 15) a)) 3)
(- (* 10 (ln 5)) (* 5 (ln 2)))	(ln (/ (pow 5 10) 32))
(- (* 18 (log 5 x)) (* 6 (log 5 y)))	(log 5 (pow (/ (pow x 3) y) 6))
(+ (* 3 (log 4 7)) (/ (log 4 2) 3))	(/ (log 4 (* (pow 7 9) 2)) 3)
(+ (log 2 u) (+ (log 2 v) (* 2 (log 2 w))))	(log 2 (* u (* v (pow w 2))))
(+ (* 18 (log 9 12)) (* 6 (log 9 7)))	(* 6 (log 9 (* (pow 12 3) 7)))
(+ (* 5 (log 9 c)) (/ (log 9 a) 3))	(/ (log 9 (* (pow c 15) a)) 3)
(+ (* 20 (log 7 x)) (* 4 (log 7 y)))	(log 7 (pow (* (pow x 5) y) 4))
(+ (* 2 (log 7 z)) (/ (log 7 x) 2))	(log 7 (* (pow z 2) (sqrt x)))
(+ (log 8 u) (+ (log 8 v) (* 5 (log 8 w))))	(log 8 (* u (* v (pow w 5))))
(- (* 2 (log 6 u)) (* 8 (log 6 v)))	(log 6 (pow (/ u (pow v 4)) 2))
(+ (* 8 (log 5 a)) (* 2 (log 5 b)))	(log 5 (pow (* (pow a 4) b) 2))
(+ (* 8 (log 3 12)) (* 2 (log 3 5)))	(* 2 (log 3 (* (pow 12 4) 5)))
(- (* 3 (log 4 u)) (* 18 (log 4 v)))	(log 4 (pow (/ u (pow v 6)) 3))
(+ (* 2 (log 5 z)) (/ (log 5 x) 2))	(log 5 (* (pow z 2) (sqrt x)))
(- (* 6 (log 2 u)) (* 24 (log 2 v)))	(log 2 (pow (/ u (pow v 4)) 6))
(- (* 6 (log 10 8)) (* 30 (log 10 11)))	(* 6 (log 10 (/ 8 (pow 11 5))))
(- (* 4 (log 9 11)) (* 4 (log 9 7)))	(log 9 (pow (/ 11 7) 4))
(- (* 3 (log 10 x)) (* 5 (log 10 y)))	(log 10 (/ (pow x 3) (pow y 5)))
(- (* 6 (log 6 10)) (* 24 (log 6 3)))	(log 6 (pow (/ 10 81) 6))
(+ (ln z) (+ (/ (ln x) 3) (/ (ln y) 3)))	(ln (* z (pow (* x y) (/ 1 3))))
(+ (* 3 (log 4 x)) (* 9 (log 4 y)))	(log 4 (pow (* x (pow y 3)) 3))
(- (* 5 (log 4 a)) (* 6 (log 4 b)))	(log 4 (/ (pow a 5) (pow b 6)))
(- (* 4 (log 2 11)) (* 6 (log 2 6)))	(log 2 (/ (pow 11 4) (pow 6 6)))
(+ (log 7 z) (+ (/ (log 7 x) 3) (/ (log 7 y) 3)))	(log 7 (* z (pow (* x y) (/ 1 3))))
(+ (* 2 (log 2 x)) (* 10 (log 2 y)))	(log 2 (pow (* x (pow y 5)) 2))
(+ (log 5 w) (+ (/ (log 5 u) 3) (/ (log 5 v) 3)))	(log 5 (* w (pow (* u v) (/ 1 3))))
(+ (log 3 7) (+ (/ (log 3 10) 3) (/ (log 3 11) 3)))	(log 3 (* 7 (pow 110 (/ 1 3))))
(+ (/ (log 9 u) 2) (+ (/ (log 9 v) 2) (/ (log 9 w) 2)))	(log 9 (sqrt (* u (* v w))))
(pow (ln e) 5)	1
(ln (pow e 5))	5
(pow 4 (ln e))	4
(ln (sqrt e))	0.5
(exp (ln 2))	2
(exp (* 3 (ln 2)))	8
(pow (exp (ln 2)) 3)	8
(exp (* 2 (ln 3)))	9
(exp (* -1 (ln 2)))	0.5
(exp (* -3 (ln 2)))	0.125
(* 5 (exp (ln (/ 6 5))))	6
(exp (+ (ln 2) (ln 3)))	6
(exp (+ (ln 2) (ln 0.5)))	1
(exp (- (* 2 (ln 2)) (* 3 (ln 3))))	(/ 4 27)
(ln (exp (ln (exp 2))))	2
(exp (* -1 (ln (exp (ln 3)))))	(/ 1 3)
(ln (exp 7))	7
(ln (/ 1 (exp 9)))	-9
(ln (exp 3))	3
(ln (pow e (/ 1 7)))	(/ 1 7)
(exp (ln 5))	5
(ln (/ 1 (exp 4)))	-4
(pow 10 (log 10 56))	56
(* (exp (ln 6)) (exp (ln 2)))	12
(log 4 (pow 16 x))	(* 2 x)
(pow 5 (log 5 (* 6 x)))	(* 6 x)
(log 9 (pow 81 (+ x 2)))	(+ (* 2 x) 4)
(+ (ln (/ 1 x)) (ln (/ 1 y)))	(* -1 (ln (* x y)))
(- (* 2 (ln 7)) (ln 5))	(ln (/ 49 5))
(/ (ln e) 7)	(/ 1 7)
(exp (/ (ln x) 2))	(sqrt x)
(- (+ (* 4 (ln x)) (ln y)) (ln 7))	(ln (/ (* (pow x 4) y) 7))
(- (+ (log 3 5) (log 3 8)) (log 3 2))	(log 3 20)
(* 2 (log 3 5))	(log 3 25)
(+ (log 2 (pow x 2)) (* 0.5 (log 2 (+ x 1))))	(log 2 (* (pow x 2) (sqrt (+ x 1))))
(/ (ln 3) (ln 5))	(log 5 3)
(/ (ln 10) (ln 2))	(log 2 10)
(+ (ln 2) (ln 3))	(ln 6)
(- (ln 3) (ln 2))	(ln 1.5)
(* 2 (ln 3))	(ln 9)
(+ (* 2 (ln 2)) (ln 3))	(ln 12)
(pow e (* pi (ln 2)))	(pow 2 pi)
(pow e (* x (ln pi)))	(pow pi x)
(+ (ln (* 3 x)) (* 0.5 (ln (+ (* 4 (pow x 2)) 2))))	(ln (* (* 3 x) (sqrt (+ (* 4 (pow x 2)) 2))))
(+ (+ (ln 4) (* 2 (ln x))) (* 0.5 (ln (+ (pow x 2) 5))))	(ln (* (* 4 (pow x 2)) (sqrt (+ (pow x 2) 5))))
(- (ln (+ (* 13 (pow t 2)) 1)) (ln (+ (* 5 t) 3)))	(ln (/ (+ (* 13 (pow t 2)) 1) (+ (* 5 t) 3)))
(* 0.5 (- (ln (+ (* 4 (pow t 2)) 3)) (ln (+ (pow t 4) 1))))	(ln (sqrt (/ (+ (* 4 (pow t 2)) 3) (+ (pow t 4) 1))))
(+ (ln 3) (* 2 (ln x)))	(ln (* 3 (pow x 2)))
(ln (* (pow a 10) (exp (pow x 2))))	(+ (* 10 (ln a)) (pow x 2))
(- (* 2 (ln x)) (ln (* 2 (ln x))))	(ln (/ (pow x 2) (ln (pow x 2))))
(* 10 (exp (* (/ (ln 3) 5) t)))	(* 10 (pow 3 (/ t 5)))
(* 6 (pow (exp (ln (/ 5 6))) t))	(* 6 (pow (/ 5 6) t))
(ln (exp (* 0.003 t)))	(* 0.003 t)
(ln (exp (* 5 k)))	(* 5 k)
(ln (* (exp a) (exp b)))	(+ a b)
(pow (exp (* 2 a)) 3)	(exp (* 6 a))
(+ (ln x) (* 0.5 (ln (+ x 1))))	(ln (* x (sqrt (+ x 1))))
(ln (/ (exp x) (pow x 2)))	(- x (* 2 (ln x)))
(ln (* (pow x 2) (exp (* 3 x))))	(+ (* 2 (ln x)) (* 3 x))
(ln (/ (exp (* 2 x)) (exp x)))	x
(exp (+ x (ln 2)))	(* 2 (exp x))
(exp (- x (ln 3)))	(/ (exp x) 3)
(exp (+ x (ln x)))	(* x (exp x))
(ln (* (pow e 2) x))	(+ 2 (ln x))
(ln (/ (pow e 3) x))	(- 3 (ln x))
(ln (sqrt (exp x)))	(* 0.5 x)
(sqrt (exp (* 2 x)))	(exp x)
(* (exp (* 2 x)) (exp (* 3 x)))	(exp (* 5 x))
(/ (exp (* 5 x)) (exp (* 2 x)))	(exp (* 3 x))
(* (exp (+ x y)) (exp (- x y)))	(exp (* 2 x))
(* (exp x) (exp (* -1 x)))	1
(ln (* (exp x) (exp (* 2 x))))	(* 3 x)
(pow e (+ (ln x) 1))	(* e x)
(pow e (- 1 (ln x)))	(/ e x)
(exp (* 2 (ln (+ x 1))))	(pow (+ x 1) 2)
(exp (ln (pow x 3)))	(pow x 3)
(ln (exp (pow x 2)))	(pow x 2)
(exp (ln (* 2 x)))	(* 2 x)
(exp (ln (/ x 2)))	(/ x 2)
(pow e (* -2 (ln x)))	(/ 1 (pow x 2))
(/ 1 (exp (* -1 x)))	(exp x)
(pow (exp 1) x)	(exp x)
(+ (+ (log 3 30) (log 3 x)) (log 3 (+ (* 3 x) 4)))	(log 3 (* (* 30 x) (+ (* 3 x) 4)))
(- (+ (log 2 (* 15 x)) (log 2 (+ x 1))) (log 2 (+ (* 3 x) 4)))	(log 2 (/ (* (* 15 x) (+ x 1)) (+ (* 3 x) 4)))
(+ (* 6 (log 6 2)) (* 3 (log 6 x)))	(log 6 (* 64 (pow x 3)))
(- (* 2 (log 10 x)) (* 4 (log 10 (+ x 5))))	(log 10 (/ (pow x 2) (pow (+ x 5) 4)))
(* 0.5 (log 10 x))	(log 10 (sqrt x))
(ln (exp (exp x)))	(exp x)
(exp (ln (ln (+ x 2))))	(ln (+ x 2))
(ln (pow e (pow x 2)))	(pow x 2)
(ln (/ y (exp x)))	(- (ln y) x)
(ln (/ (exp x) (exp y)))	(- x y)
(* (exp x) (* (exp y) (exp z)))	(exp (+ x (+ y z)))
(pow (exp x) (ln y))	(pow y x)
(* 0.5 (+ (ln x) (ln y)))	(ln (sqrt (* x y)))
(+ (ln (sqrt x)) (ln (sqrt y)))	(ln (sqrt (* x y)))
(- (ln (* x y)) (ln x))	(ln y)
(+ (ln (* 2 x)) (ln (* 3 x)))	(ln (* 6 (pow x 2)))
(- (ln (* 6 x)) (ln (* 2 x)))	(ln 3)
(exp (ln (sqrt x)))	(sqrt x)
(exp (/ x 2))	(sqrt (exp x))
(* x (exp (ln x)))	(pow x 2)
(/ (exp (ln x)) x)	1
(ln (* e e))	2
(ln (pow e e))	e
(pow (sqrt e) (* 2 x))	(exp x)
(ln (/ 1 e))	-1
(ln (/ 1 (pow e 2)))	-2
(exp (* x (ln 2)))	(pow 2 x)
(exp (* x (ln 10)))	(pow 10 x)
(pow 2 (/ x (ln 2)))	(exp x)
(/ (ln (pow x 3)) (ln x))	3
(exp (* 4 (ln x)))	(pow x 4)
(exp (ln (pow x 2)))	(pow x 2)
(ln (exp (/ x y)))	(/ x y)
(ln (exp (- x y)))	(- x y)
(ln (exp (+ x 1)))	(+ x 1)
(* (exp (ln x)) (exp (ln y)))	(* x y)
(/ (exp (ln x)) (exp (ln y)))	(/ x y)
(- (+ (ln x) (ln y)) (ln z))	(ln (/ (* x y) z))
(+ (ln x) (* 2 (ln y)))	(ln (* x (pow y 2)))
(- (ln x) (* 3 (ln y)))	(ln (/ x (pow y 3)))
(+ (* 2 (ln x)) (* 3 (ln y)))	(ln (* (pow x 2) (pow y 3)))
(- (* 0.5 (ln x)) (ln y))	(ln (/ (sqrt x) y))
(+ (ln 5) (ln (pow x 2)))	(ln (* 5 (pow x 2)))
(pow (exp 2) (* 3 x))	(exp (* 6 x))
(ln (/ (exp (* 3 x)) (exp x)))	(* 2 x)
(* 5 (exp (ln x)))	(* 5 x)
(exp (* 2 (ln (sqrt x))))	x
(* 0.5 (- (ln x) (ln y)))	(ln (sqrt (/ x y)))
(ln (exp (* x (ln y))))	(* x (ln y))
(pow e (ln (* x y)))	(* x y)
(pow e (* 3 (ln x)))	(pow x 3)
(ln (* (exp 2) (exp x)))	(+ 2 x)
(* (exp 2) (exp x))	(exp (+ 2 x))
(ln (* e (exp x)))	(+ 1 x)
(log e (exp x))	x
(/ (ln x) (ln e))	(ln x)
(pow (pow e 2) x)	(exp (* 2 x))
(* 0.5 (ln (+ x 1)))	(ln (sqrt (+ x 1)))
(exp (ln (+ x y)))	(+ x y)
(exp (+ (ln 3) x))	(* 3 (exp x))
(ln (/ 1 (sqrt x)))	(* -0.5 (ln x))
(ln (/ 1 (pow x 2)))	(* -2 (ln x))
(* 2 (ln (exp x)))	(* 2 x)
(- x (ln (exp y)))	(- x y)
(+ (ln (exp x)) (ln (exp y)))	(+ x y)
(* y (ln (exp x)))	(* x y)
(exp (ln 1))	1
(ln (exp 0))	0
(ln 1)	0
(ln e)	1
(exp 0)	1
(exp (ln e))	e
(pow e 0)	1
(exp (* k (/ (ln 2) k)))	2
(exp (* t (ln 0.5)))	(pow 0.5 t)
(exp (* -1 (* t (ln 2))))	(pow 0.5 t)
(exp (/ (* t (ln 2)) 5))	(pow 2 (/ t 5))
(* (* 2 (pow m 2)) (* 2 (pow m 3)))	(* 4 (pow m 5))
(* (pow m 4) (* 2 (pow m -3)))	(* 2 m)
(* (* 4 (pow r -3)) (* 2 (pow r 2)))	(/ 8 r)
(* (* 4 (pow n 4)) (* 2 (pow n -3)))	(* 8 n)
(* (* 2 (pow k 4)) (* 4 k))	(* 8 (pow k 5))
(* (* 2 (* (pow x 3) (pow y -3))) (* 2 (* (pow x -1) (pow y 3))))	(* 4 (pow x 2))
(* (* 2 (pow y 2)) (* 3 x))	(* 6 (* x (pow y 2)))
(* (* 4 (pow v 3)) (* v (pow u 2)))	(* 4 (* (pow u 2) (pow v 4)))
(* (* 4 (* (pow a 3) (pow b 2))) (* 3 (* (pow a -4) (pow b -3))))	(/ 12 (* a b))
(* (* (pow x 2) (pow y -4)) (* (pow x 3) (pow y 2)))	(/ (pow x 5) (pow y 2))
(pow (pow x 2) 0)	1
(pow (* 4 (pow r 0)) 4)	256
(pow (* 4 (pow a 3)) 2)	(* 16 (pow a 6))
(pow (* 3 (pow k 4)) 4)	(* 81 (pow k 16))
(pow (* 4 (* x y)) -1)	(/ 0.25 (* x y))
(pow (* 2 (pow b 4)) -1)	(/ 0.5 (pow b 4))
(pow (* (pow x 2) (pow y -1)) 2)	(/ (pow x 4) (pow y 2))
(pow (* 2 (* (pow x 4) (pow y -3))) -1)	(/ (pow y 3) (* 2 (pow x 4)))
(/ 1 (* 9 (pow m 2)))	(pow (* 3 m) -2)
(/ (pow r 2) (* 2 (pow r 3)))	(/ 1 (* 2 r))
(/ (pow x -1) (* 4 (pow x 4)))	(/ 1 (* 4 (pow x 5)))
(/ (* 3 (pow n 4)) (* 3 (pow n 3)))	n
(/ (pow m 4) (* 2 (pow m 4)))	0.5
(/ (* 3 (pow m -4)) (pow m 3))	(/ 3 (pow m 7))
(/ (* 2 (* (pow x 4) (* (pow y -4) (pow z -3)))) (* 3 (* (pow x 2) (* (pow y -3) (pow z 4)))))	(/ (* 2 (pow x 2)) (* 3 (* y (pow z 7))))
(/ (* 4 (* (pow x 0) (* (pow y -2) (pow z 3)))) (* 4 x))	(/ (pow z 3) (* x (pow y 2)))
(/ (* 2 (* (pow h 3) (* (pow j -3) (pow k 4)))) (* 3 (* j k)))	(/ (* 2 (* (pow h 3) (pow k 3))) (* 3 (pow j 4)))
(/ (* 4 (* (pow m 4) (* (pow n 3) (pow p 3)))) (* 3 (* (pow m 2) (* (pow n 2) (pow p 4)))))	(/ (* 4 (* n (pow m 2))) (* 3 p))
(/ (* 3 (* (pow x 3) (* (pow y -1) (pow z -1)))) (* (pow x -4) (* (pow y 0) (pow z 0))))	(/ (* 3 (pow x 7)) (* y z))
(* 5 (sqrt (* 5 n)))	(sqrt (* 125 n))
(* 6 (sqrt (* 6 v)))	(sqrt (* 216 v))
(* 16 (* m (sqrt (* 2 m))))	(sqrt (* 512 (pow m 3)))
(* 6 (* (pow k 2) (sqrt 6)))	(sqrt (* 216 (pow k 4)))
(sqrt (* 100 (pow v 3)))	(* 10 (pow v 1.5))
(* 4 (* p (sqrt (* 5 p))))	(sqrt (* 80 (pow p 3)))
(sqrt (* 45 (pow p 2)))	(* p (sqrt 45))
(* 7 (* (* m n) (sqrt (* 3 (* m n)))))	(sqrt (* 147 (* (pow m 3) (pow n 3))))
(* 10 (* (pow m 2) (sqrt (* 2 n))))	(sqrt (* 200 (* (pow m 4) n)))
(sqrt (* 75 (* (pow x 2) y)))	(* x (sqrt (* 75 y)))
(sqrt (* 64 (* (pow m 3) (pow n 3))))	(* 8 (pow (* m n) 1.5))
(sqrt (* 16 (* (pow u 4) (pow v 3))))	(* 4 (* (pow u 2) (pow v 1.5)))
(* 2 (* (* x y) (sqrt (* 7 (* x y)))))	(sqrt (* 28 (* (pow x 3) (pow y 3))))
(sqrt (* 36 (* (pow x 2) (pow y 3))))	(* 6 (* x (* y (sqrt y))))
(* 8 (* (pow x 2) (* y (sqrt (* 6 y)))))	(sqrt (* 384 (* (pow x 4) (pow y 3))))
(* 6 (sqrt (* 72 (pow x 2))))	(* 36 (* x (sqrt 2)))
(* 5 (sqrt (* 80 (pow a 2))))	(* 20 (* a (sqrt 5)))
(* 2 (sqrt (* 8 (* (pow p 2) (* (pow q 3) r)))))	(* 4 (* (* p q) (sqrt (* 2 (* q r)))))
(* 4 (sqrt (* 216 (* (pow x 2) (* (pow y 2) z)))))	(* 24 (* (* x y) (sqrt (* 6 z))))
(* 3 (sqrt (* 24 (* (pow a 4) (* (pow b 2) (pow c 3))))))	(* 6 (* (pow a 2) (* (* b c) (sqrt (* 6 c)))))
(* 3 (sqrt (* 16 (* (pow x 4) (* (pow y 4) z)))))	(* 12 (* (pow x 2) (* (pow y 2) (sqrt z))))
(* 2 (sqrt (* 48 (* (pow a 3) (* (pow b 4) (pow c 2))))))	(* 8 (* a (* (pow b 2) (* c (sqrt (* 3 a))))))
(* 6 (sqrt (* 75 (* m (* (pow p 2) (pow q 3))))))	(* 30 (* (* p q) (sqrt (* 3 (* m q)))))
(* 4 (sqrt (* 36 (* (pow x 2) (* (pow y 3) (pow z 4))))))	(* 24 (* x (* (pow z 2) (* y (sqrt y)))))
(pow 7 0.5)	(sqrt 7)
(pow (pow 4 (/ 1 3)) 4)	(pow 4 (/ 4 3))
(pow (sqrt 10) 3)	(pow 10 1.5)
(pow (pow 2 0.25) 5)	(pow 2 1.25)
(/ 1 (pow (* 5 x) 1.25))	(pow (* 5 x) -1.25)
(/ 1 (sqrt (* 5 x)))	(pow (* 5 x) -0.5)
(pow (sqrt (* 10 n)) 3)	(pow (* 10 n) 1.5)
(pow (pow a 6) 0.2)	(pow a 1.2)
(* (* 6 v) (sqrt (* 6 v)))	(pow (* 6 v) 1.5)
(/ 1 (sqrt m))	(pow m -0.5)
(pow (pow m 0.25) 3)	(pow m 0.75)
(pow (pow (* 6 x) (/ 1 3)) 4)	(pow (* 6 x) (/ 4 3))
(pow (sqrt v) 0.5)	(pow v 0.25)
(pow (sqrt p) (/ 1 3))	(pow p (/ 1 6))
(pow (pow (* 3 a) (/ 1 3)) 4)	(pow (* 3 a) (/ 4 3))
(/ 1 (pow (sqrt (* 3 k)) 5))	(pow (* 3 k) -2.5)
(pow 9 0.5)	3
(pow 343 (/ -4 3))	(/ 1 2401)
(pow 1000000 (/ 1 6))	10
(pow 36 1.5)	216
(pow (pow x 6) 0.5)	(pow x 3)
(pow (* 9 (pow n 4)) 0.5)	(* 3 (pow n 2))
(pow (* 64 (pow n 12)) (/ -1 6))	(/ 1 (* 2 (pow n 2)))
(pow (* 81 (pow m 6)) 0.5)	(* 9 (pow m 3))
(pow (pow n 4) 1.5)	(pow n 6)
(pow (* 27 (pow p 6)) (/ 5 3))	(* 243 (pow p 10))
(pow (* 64 (pow m 4)) 1.5)	(* 512 (pow m 6))
(pow (pow a 8) 1.5)	(pow a 12)
(pow (* 81 (pow x 12)) 1.25)	(* 243 (pow x 15))
(pow (* 216 (pow r 9)) (/ 1 3))	(* 6 (pow r 3))
(* (* 2 (pow m 2)) (* (* 4 (pow m 1.5)) (* 4 (pow m -2))))	(* 32 (pow m 1.5))
(* (* 3 (pow b 0.5)) (pow b (/ 4 3)))	(* 3 (pow b (/ 11 6)))
(pow (pow p 1.5) -2)	(pow p -3)
(pow (pow a 0.5) 1.5)	(pow a 0.75)
(/ (* 2 (pow x (/ -7 4))) (* 4 (pow x (/ 4 3))))	(/ 1 (* 2 (pow x (/ 37 12))))
(/ (* 4 (pow x 2)) (* 2 (pow x 0.5)))	(* 2 (pow x 1.5))
(pow (* m (* (pow m -2) (pow n (/ 5 3)))) 2)	(/ (pow n (/ 10 3)) (pow m 2))
(pow (* (* (pow a -1) (pow b (/ 1 3))) (* (pow a (/ -4 3)) (pow b 2))) 2)	(pow (/ b a) (/ 14 3))
(* (pow x 2) (pow x 3))	(pow x 5)
(/ (pow 2 4) (pow 2 2))	4
(/ (pow x 4) (pow x 2))	(pow x 2)
(/ (pow x 2) (pow x 2))	1
(pow (pow x 3) 4)	(pow x 12)
(* (pow x 3) (pow y 3))	(pow (* x y) 3)
(/ (pow x 3) (pow y 3))	(pow (/ x y) 3)
(pow 4 1.5)	8
(pow 8 2)	64
(* (pow y 5) (pow y 6))	(pow y 11)
(* (pow 2 x) (pow 2 (* 3 x)))	(pow 2 (* 4 x))
(/ (pow x 9) (pow x 7))	(pow x 2)
(/ (pow b 8) (pow b 12))	(/ 1 (pow b 4))
(/ 1 (pow x 5))	(pow x -5)
(/ 1 (pow y -4))	(pow y 4)
(pow (pow y 5) 9)	(pow y 45)
(* (pow (pow y 3) 6) (pow (pow y 5) 4))	(pow y 38)
(/ 1 (pow (* 6 (pow k 3)) 2))	(/ 1 (* 36 (pow k 6)))
(pow n 0)	1
(pow (* (pow x -2) (pow x -3)) 4)	(/ 1 (pow x 20))
(* (pow (pow x 4) -3) (* 2 (pow x 4)))	(/ 2 (pow x 8))
(* (pow (pow n 3) 3) (* 2 (pow n -1)))	(* 2 (pow n 8))
(* (pow (* 2 v) 2) (* 2 (pow v 2)))	(* 8 (pow v 4))
(/ (* (* 2 (pow y 3)) (* 3 (* x (pow y 3)))) (* 3 (* (pow x 2) (pow y 4))))	(/ (* 2 (pow y 2)) x)
(/ (* (* (pow x 3) (pow y 3)) (pow x 3)) (* 4 (pow x 2)))	(/ (* (pow x 4) (pow y 3)) 4)
(/ x (pow (* 2 (pow x 0)) 2))	(/ x 4)
(/ (* 2 (pow m -4)) (pow (* 2 (pow m -4)) 3))	(/ (pow m 8) 4)
(/ (pow (* 2 (pow m 2)) -1) (pow m 2))	(/ 1 (* 2 (pow m 4)))
(/ (* 2 (pow x 3)) (pow (pow x -1) 3))	(* 2 (pow x 6))
(pow (* (pow a -3) (pow b -3)) 0)	1
(* (* (pow x 4) (pow y 3)) (pow (* 2 (pow y 2)) 0))	(* (pow x 4) (pow y 3))
(* (* b (pow a 4)) (pow (* 2 (* b (pow a 4))) -3))	(/ 1 (* 8 (* (pow a 8) (pow b 2))))
(/ (* (* 2 (pow k 3)) (pow k 2)) (pow k -3))	(* 2 (pow k 8))
(/ (* (pow (pow x -3) 4) (pow x 4)) (* 2 (pow x -3)))	(/ 1 (* 2 (pow x 5)))
(* (/ (pow (* 2 x) -4) (pow x -1)) x)	(/ 1 (* 16 (pow x 2)))
(/ (pow (* 2 (* (pow x 3) (pow z 2))) 3) (* (* (pow x 3) (* (pow y 4) (pow z 2))) (* (pow x -4) (pow z 3))))	(/ (* 8 (* (pow x 10) z)) (pow y 4))
(pow (/ 1 2) -5)	32
(pow (/ 1 (pow 2 3)) 2)	(/ 1 64)
(/ (* (pow 2 -1) (pow 4 -1)) (pow 2 -2))	0.5
(+ (+ (pow (/ 1 2) -2) (pow (/ 1 3) -2)) (pow (/ 1 4) -2))	29
(/ (* 25 (pow t -4)) (* (pow 5 -3) (* 10 (pow t -8))))	(* 312.5 (pow t 4))
(/ (pow a (* 3 x)) (pow a x))	(pow a (* 2 x))
(* (pow 2 x) (pow 3 x))	(pow 6 x)
(* (pow a n) (pow b n))	(pow (* a b) n)
(/ (pow a n) (pow b n))	(pow (/ a b) n)
(pow (sqrt (* a b)) 2)	(* a b)
